global_index,original_excel_row,ma_phong_ban_1,ten_phong_ban_1,kinh_do_1,vi_do_1,ma_phong_ban_2,ten_phong_ban_2,kinh_do_2,vi_do_2,khoang_cach_chim_bay,tinh_thanh,PART_ID,row_in_part,Khoảng cách đường bộ,Khoảng cách đường bộ km,thời gian,source_output_file,source_kind,crawl_status,directed_pair_key_by_code,undirected_pair_key_by_code,directed_pair_key_by_coord,undirected_pair_key_by_coord,matched_by,old_distance_km,new_distance_km,old_duration,new_duration,old_ratio_to_air,new_ratio_to_air,distance_diff_km,distance_abs_diff_km,distance_change_pct,compare_status,recrawl_priority,recrawl_group,pair_key,recrawl_batch
1261,1263,46000000,CN Huế,107.5963052,16.4641512,46036000,PGD Tây Lộc,107.5657222,16.4736111,3.426610807046433,Huế,13,61,"11 min
6.4 km",6.4,11 min,part/output_part_13/ket_qua_tu_0_den_99.xlsx,original_output,ok,46000000__46036000,46000000__46036000,"16.46415,107.59631__16.47361,107.56572","16.46415,107.59631__16.47361,107.56572",directed_pair_key_by_code,5.5,6.4,,11 min,,1.8677,0.9,0.9,0.1636,WATCH_CHANGED,MEDIUM,MEDIUM,46000000__46036000,batch_03
3385,3387,24032000,PGD Nông Trang,105.3712672,21.3371986,24233000,PGD Bạch Hạc,105.437828,21.292337,8.51026730994114,Phú Thọ,34,85,"23 min
11.6 km",11.6,23 min,part/output_part_34/ket_qua_tu_0_den_99.xlsx,original_output,ok,24032000__24233000,24032000__24233000,"21.33720,105.37127__21.29234,105.43783","21.29234,105.43783__21.33720,105.37127",directed_pair_key_by_code,4.2,11.6,,23 min,,1.3631,7.4,7.4,1.7619,SUSPECT_CHANGED,HIGH,HIGH,24032000__24233000,batch_03
29793,29795,78031000,PGD Tây Châu Thành,106.2435524,10.2711836,80033000,PGD KCN Hòa Phú,105.9322726,10.1739519,35.73797312837449,Vĩnh Long,298,93,"1 時間 43 分
94.6 km",94.6,1 時間 43 分,part/output_part_298/ket_qua_tu_0_den_99.xlsx,original_output,ok,78031000__80033000,78031000__80033000,"10.27118,106.24355__10.17395,105.93227","10.17395,105.93227__10.27118,106.24355",directed_pair_key_by_code,47.1,94.6,,1 時間 43 分,,2.647,47.5,47.5,1.0085,SUSPECT_CHANGED,HIGH,HIGH,78031000__80033000,batch_03
5099,5101,30233000,PGD Cửa Ông,107.3673353,21.0279318,30632000,PGD Kênh Đồng,107.011253,20.97794,37.37965410914262,Quảng Ninh,51,99,"58 min
44.5 km",44.5,58 min,part/output_part_51/ket_qua_tu_0_den_99.xlsx,original_output,ok,30233000__30632000,30233000__30632000,"21.02793,107.36734__20.97794,107.01125","20.97794,107.01125__21.02793,107.36734",directed_pair_key_by_code,64.5,44.5,,58 min,,1.1905,-20.0,20.0,0.3101,SUSPECT_CHANGED,HIGH,HIGH,30233000__30632000,batch_03
1908,1910,50632000,PGD Đăk R' lấp,107.5122731,11.9959544,62231000,PGD Đạ Tẻh,107.487503,11.504561,54.7070282088297,Lâm Đồng,20,8,"2 hr 33 min
118 km",118.0,2 hr 33 min,part/output_part_20/ket_qua_tu_0_den_99.xlsx,original_output,ok,50632000__62231000,50632000__62231000,"11.99595,107.51227__11.50456,107.48750","11.50456,107.48750__11.99595,107.51227",directed_pair_key_by_code,98.1,118.0,,2 hr 33 min,,2.1569,19.9,19.9,0.2029,WATCH_CHANGED,MEDIUM,MEDIUM,50632000__62231000,batch_03
28723,28725,42031000,PGD Lê Hữu Lập,105.7799799,19.8069868,42437000,PGD Thạch Thành,105.6685454,20.1293404,37.68861963670548,Thanh Hoá,288,23,"1 hr 7 min
56.7 km",56.7,1 hr 7 min,part/output_part_288/ket_qua_tu_0_den_99.xlsx,original_output,ok,42031000__42437000,42031000__42437000,"19.80699,105.77998__20.12934,105.66855","19.80699,105.77998__20.12934,105.66855",directed_pair_key_by_code,48.0,56.7,,1 hr 7 min,,1.5044,8.7,8.7,0.1812,WATCH_CHANGED,MEDIUM,MEDIUM,42031000__42437000,batch_03
4702,4704,52033000,PGD Đức Phổ,108.9578013,14.8071853,52037000,PGD Tư Nghĩa,108.8226433,15.0913629,34.77561409186634,Quảng Ngãi,48,2,"44 min
35.7 km",35.7,44 min,part/output_part_48/ket_qua_tu_0_den_99.xlsx,original_output,ok,52033000__52037000,52033000__52037000,"14.80719,108.95780__15.09136,108.82264","14.80719,108.95780__15.09136,108.82264",directed_pair_key_by_code,4.6,35.7,,44 min,,1.0266,31.1,31.1,6.7609,SUSPECT_CHANGED,HIGH,HIGH,52033000__52037000,batch_03
30711,30713,76036000,PGD Vĩnh Kim,106.247894,10.354597,76232000,PGD Hưng Long,106.1195359,10.3115639,14.83425774450622,Đồng Tháp,308,11,"29 分
20.2 km",20.2,29 分,part/output_part_308/ket_qua_tu_0_den_49.xlsx,original_output,ok,76036000__76232000,76036000__76232000,"10.35460,106.24789__10.31156,106.11954","10.31156,106.11954__10.35460,106.24789",directed_pair_key_by_code,17.5,20.2,,29 分,,1.3617,2.7,2.7,0.1543,WATCH_CHANGED,MEDIUM,MEDIUM,76036000__76232000,batch_03
30114,30116,56030000,PGD Chợ Tuy Hòa,109.3082822,13.0866747,56036000,PGD Tuy An,109.21625,13.3066389,26.41034761220903,Đắk Lắk,302,14,"28 min
33.7 km",33.7,28 min,part/output_part_302/ket_qua_tu_0_den_99.xlsx,original_output,ok,56030000__56036000,56030000__56036000,"13.08667,109.30828__13.30664,109.21625","13.08667,109.30828__13.30664,109.21625",directed_pair_key_by_code,29.0,33.7,,28 min,,1.276,4.7,4.7,0.1621,WATCH_CHANGED,MEDIUM,MEDIUM,56030000__56036000,batch_03
17674,17676,16431000,PGD Hai Bà Trưng,106.6769427,20.8523679,16435000,PGD Trần Nguyên Hãn,106.6692966,20.8452886,1.118458922220662,TP. Hải Phòng,177,74,"1 hr 8 min
78.2 km",78.2,1 hr 8 min,part/output_part_177/ket_qua_tu_0_den_99.xlsx,original_output,ok,16431000__16435000,16431000__16435000,"20.85237,106.67694__20.84529,106.66930","20.84529,106.66930__20.85237,106.67694",directed_pair_key_by_code,1.5,78.2,,1 hr 8 min,,69.9176,76.7,76.7,51.1333,SUSPECT_CHANGED,HIGH,HIGH,16431000__16435000,batch_03
837,839,28533000,PGD KCN Nam Sơn - Hạp Lĩnh,106.0774112,21.1307882,28931000,PGD Nhân Trung,106.098373,21.27475,16.15466729841611,Bắc Ninh,9,37,"25 min
19.3 km",19.3,25 min,part/output_part_09/ket_qua_tu_0_den_99.xlsx,original_output,ok,28533000__28931000,28533000__28931000,"21.13079,106.07741__21.27475,106.09837","21.13079,106.07741__21.27475,106.09837",directed_pair_key_by_code,6.5,19.3,,25 min,,1.1947,12.8,12.8,1.9692,SUSPECT_CHANGED,HIGH,HIGH,28533000__28931000,batch_03
28982,28984,17230000,PGD Chợ Mới,105.780785,21.881716,22000000,CN Thái Nguyên,105.8333839,21.5921491,32.65354144077946,Thái Nguyên,290,82,"53 min
42.6 km",42.6,53 min,part/output_part_290/ket_qua_tu_0_den_99.xlsx,original_output,ok,17230000__22000000,17230000__22000000,"21.88172,105.78078__21.59215,105.83338","21.59215,105.83338__21.88172,105.78078",directed_pair_key_by_code,134.0,42.6,,53 min,,1.3046,-91.4,91.4,0.6821,SUSPECT_CHANGED,HIGH,HIGH,17230000__22000000,batch_03
28305,28307,48032000,PGD Hùng Vương,108.2120503,16.0670524,48033000,PGD Điện Biên Phủ,108.1927052,16.0661637,2.069420827521594,TP. Đà Nẵng,284,5,"3 min
2.1 km",2.1,3 min,part/output_part_284/ket_qua_tu_0_den_99.xlsx,original_output,ok,48032000__48033000,48032000__48033000,"16.06705,108.21205__16.06616,108.19271","16.06616,108.19271__16.06705,108.21205",directed_pair_key_by_code,3.0,2.1,,3 min,,1.0148,-0.9,0.9,0.3,WATCH_CHANGED,MEDIUM,MEDIUM,48032000__48033000,batch_03
2665,2667,44430000,PGD Hoàng Mai,105.7145514,19.2654598,44434000,PGD Yên Thành,105.4722082,18.9985566,39.10191504818379,Nghệ An,27,65,"1 hr 5 min
44.0 km",44.0,1 hr 5 min,part/output_part_27/ket_qua_tu_0_den_99.xlsx,original_output,ok,44430000__44434000,44430000__44434000,"19.26546,105.71455__18.99856,105.47221","18.99856,105.47221__19.26546,105.71455",directed_pair_key_by_code,58.9,44.0,,1 hr 5 min,,1.1253,-14.9,14.9,0.253,WATCH_CHANGED,MEDIUM,MEDIUM,44430000__44434000,batch_03
58,60,74031000,PGD Thoại Sơn,105.2696884,10.2680965,84000000,CN Kiên Giang,105.0875773,9.9924968,36.55826250404257,An Giang,1,58,"1 hr 17 min
56.2 km",56.2,1 hr 17 min,part/output_part_01/ket_qua_tu_0_den_99.xlsx,original_output,ok,74031000__84000000,74031000__84000000,"10.26810,105.26969__9.99250,105.08758","10.26810,105.26969__9.99250,105.08758",directed_pair_key_by_code,47.8,56.2,,1 hr 17 min,,1.5373,8.4,8.4,0.1757,WATCH_CHANGED,MEDIUM,MEDIUM,74031000__84000000,batch_03
20857,20859,90000000,CN Thành phố Hồ Chí Minh,106.7033737,10.7705105,90235000,PGD Trần Hưng Đạo,106.6935312,10.7656379,1.203968219270957,TP. Hồ Chí Minh,209,57,"1 hr 35 min
97.0 km",97.0,1 hr 35 min,part/output_part_209/ket_qua_tu_0_den_99.xlsx,original_output,ok,90000000__90235000,90000000__90235000,"10.77051,106.70337__10.76564,106.69353","10.76564,106.69353__10.77051,106.70337",directed_pair_key_by_code,2.0,97.0,,1 hr 35 min,,80.5669,95.0,95.0,47.5,SUSPECT_CHANGED,HIGH,HIGH,90000000__90235000,batch_03
15895,15897,14600000,CN Tây Hà Nội,105.7733339,21.0376276,18800000,CN Hà Thành,105.7602524,21.0451734,1.595967771187789,TP. Hà Nội,159,95,"1 hr 18 min
65.3 km",65.3,1 hr 18 min,part/output_part_159/ket_qua_tu_0_den_99.xlsx,original_output,ok,14600000__18800000,14600000__18800000,"21.03763,105.77333__21.04517,105.76025","21.03763,105.77333__21.04517,105.76025",directed_pair_key_by_code,2.3,65.3,,1 hr 18 min,,40.9156,63.0,63.0,27.3913,SUSPECT_CHANGED,HIGH,HIGH,14600000__18800000,batch_03
2838,2840,38035000,PGD Trực Ninh,106.2668515,20.3198902,40033000,PGD Kim Sơn,106.0791969,20.0884219,32.34066038528033,Ninh Bình,29,38,"1 hr 7 min
45.7 km",45.7,1 hr 7 min,part/output_part_29/ket_qua_tu_0_den_99.xlsx,original_output,ok,38035000__40033000,38035000__40033000,"20.31989,106.26685__20.08842,106.07920","20.08842,106.07920__20.31989,106.26685",directed_pair_key_by_code,69.4,45.7,,1 hr 7 min,,1.4131,-23.7,23.7,0.3415,SUSPECT_CHANGED,HIGH,HIGH,38035000__40033000,batch_03
1566,1568,34333000,PGD Văn Lâm,106.0010252,20.9564815,36038000,PGD Tiểu Hoàng,106.5021322,20.4024302,80.70368445094348,Hưng Yên,16,66,"1 hr 56 min
96.1 km",96.1,1 hr 56 min,part/output_part_16/ket_qua_tu_0_den_99.xlsx,original_output,ok,34333000__36038000,34333000__36038000,"20.95648,106.00103__20.40243,106.50213","20.40243,106.50213__20.95648,106.00103",directed_pair_key_by_code,114.0,96.1,,1 hr 56 min,,1.1908,-17.9,17.9,0.157,WATCH_CHANGED,MEDIUM,MEDIUM,34333000__36038000,batch_03
3615,3617,24231000,PGD Hoà Phong,105.3880818,21.3291221,24233000,PGD Bạch Hạc,105.437828,21.292337,6.579306732118745,Phú Thọ,37,15,"18 min
9.0 km",9.0,18 min,part/output_part_37/ket_qua_tu_0_den_99.xlsx,original_output,ok,24231000__24233000,24231000__24233000,"21.32912,105.38808__21.29234,105.43783","21.29234,105.43783__21.32912,105.38808",directed_pair_key_by_code,3.7,9.0,,18 min,,1.3679,5.3,5.3,1.4324,SUSPECT_CHANGED,HIGH,HIGH,24231000__24233000,batch_03
29864,29866,78037000,PGD Mỏ Cày Bắc,106.2716162,10.1928841,80034000,PGD Bình Minh,105.820209,10.070568,51.24922798256264,Vĩnh Long,299,64,"1 hr 58 min
115 km",115.0,1 hr 58 min,part/output_part_299/ket_qua_tu_0_den_99.xlsx,original_output,ok,78037000__80034000,78037000__80034000,"10.19288,106.27162__10.07057,105.82021","10.07057,105.82021__10.19288,106.27162",directed_pair_key_by_code,70.9,115.0,,1 hr 58 min,,2.2439,44.1,44.1,0.622,SUSPECT_CHANGED,HIGH,HIGH,78037000__80034000,batch_03
4776,4778,30030000,PGD Hồng Hà,107.1332639,20.9509185,31600000,CN Đông Quảng Ninh,107.4201729,21.0690875,32.55173406612383,Quảng Ninh,48,76,"52 min
40.4 km",40.4,52 min,part/output_part_48/ket_qua_tu_0_den_99.xlsx,original_output,ok,30030000__31600000,30030000__31600000,"20.95092,107.13326__21.06909,107.42017","20.95092,107.13326__21.06909,107.42017",directed_pair_key_by_code,50.8,40.4,,52 min,,1.2411,-10.4,10.4,0.2047,WATCH_CHANGED,MEDIUM,MEDIUM,30030000__31600000,batch_03
1912,1914,50632000,PGD Đăk R' lấp,107.5122731,11.9959544,62235000,PGD Đạ Huoai,107.5327809,11.3836644,68.12024655576444,Lâm Đồng,20,12,"3 hr
136 km",136.0,3 hr,part/output_part_20/ket_qua_tu_0_den_99.xlsx,original_output,ok,50632000__62235000,50632000__62235000,"11.99595,107.51227__11.38366,107.53278","11.38366,107.53278__11.99595,107.51227",directed_pair_key_by_code,115.0,136.0,,3 hr,,1.9965,21.0,21.0,0.1826,WATCH_CHANGED,MEDIUM,MEDIUM,50632000__62235000,batch_03
